질문,법령명,조문,키워드,질문유형,검증,비고
위험물 저장소에는 방폭등이 꼭 필요해?,위험물안전관리법,제12조,"위험물, 방폭등, 저장소",전기설비,✅,폭발위험장소 방폭기기 설치 명시

도시가스배관 작업 시 밸브 폐쇄 기준이 있어?,도시가스사업법,제30조,"도시가스, 밸브, 폐쇄, 작업",배관,✅,작업 전 밸브조작 기준 명시

건설공사의 안전관리계획은 언제 제출해야 해?,건설기술진흥법,제62조,"안전관리계획, 제출시기, 건설공사",계획,✅,착공 전 제출 명시

건설공사 감리원도 안전에 책임이 있어?,건설기술진흥법,제63조,"감리원, 안전관리, 책임",감리,✅,안전관리 확인 의무 포함

건설기술자는 안전교육 받아야 해?,건설기술진흥법,제64조,"건설기술자, 안전교육",교육,✅,정기 안전교육 의무 명시

중대재해 발생 시 발주처도 책임 있나?,중대재해 처벌 등에 관한 법률,제4조,"중대재해, 발주자, 책임",발주자,✅,경영책임자 범위에 포함될 수 있음

산재보험은 모든 근로자에게 적용돼?,산업재해보상보험법,제6조,"산재보험, 근로자, 적용",보험,✅,근로자 대부분 포함 대상

산재보험에서 유족급여는 어떤 경우에 지급돼?,산업재해보상보험법,제62조,"산재보험, 유족급여, 사망",보험,✅,업무상 사망 시 지급 요건 명시

산업재해보상보험은 누가 가입해야 해?,산업재해보상보험법,제7조,"가입의무, 보험, 사업주",보험,✅,사업주 의무 가입 대상 명시

5인 미만 사업장도 산재보험 가입해야 해?,산업재해보상보험법,제7조,"산재보험, 5인 미만, 가입",보험,✅,일부 예외 있으나 대부분 의무

중대산업재해로 유죄 받으면 벌금은 얼마야?,중대재해 처벌 등에 관한 법률,제11조,"벌금, 형사처벌, 중대재해",처벌,✅,법인에 대한 벌금 기준 명시

산재 발생 시 요양급여는 어떻게 청구해?,산업재해보상보험법,제40조,"산재, 요양급여, 청구",보험,✅,청구 절차 및 양식 규정 있음

이동식 사다리를 사용할 때 고정 방법은?,산업안전보건기준에 관한 규칙,제194조,"이동식 사다리, 고정, 미끄럼방지",작업장비,✅,상부 및 하부 고정 장치 필요

고소작업대는 경사면에서도 사용 가능한가?,산업안전보건기준에 관한 규칙,제254조,"고소작업대, 경사면, 사용금지",작업장비,✅,수평 유지 조건 명시

용접 작업 시 인화성 물질은 얼마나 떨어져야 해?,산업안전보건기준에 관한 규칙,제305조,"용접, 인화성 물질, 거리",화재,✅,5m 이상 거리 확보

가설통로의 폭은 몇 cm 이상이어야 해?,산업안전보건기준에 관한 규칙,제211조,"가설통로, 폭, 기준",가설,✅,최소 60cm 이상

추락위험 장소 작업 시 방망 설치 기준은?,산업안전보건기준에 관한 규칙,제287조,"추락, 방망, 설치기준",추락,✅,수직거리 및 높이 기준 명시

가설 전기설비의 절연저항 기준은?,산업안전보건기준에 관한 규칙,제358조,"가설전기, 절연저항, 기준",전기,✅,0.1MΩ 이상 유지

비계의 난간대는 어떤 구조로 설치해야 해?,산업안전보건기준에 관한 규칙,제206조,"비계, 난간대, 구조",비계,✅,상단·중단대 및 발끝막이 설치

굴착 깊이가 얕아도 지반이 약하면 지보공 설치해야 해?,산업안전보건기준에 관한 규칙,제265조,"굴착, 지반, 지보공, 예외없음",토사,✅,지반상태 기준 포함

이동식 크레인은 작업계획서를 작성해야 해?,산업안전보건기준에 관한 규칙,제246조,"이동식 크레인, 작업계획서",기계,✅,작업 전 작성 의무

화학물질 취급 장소는 어떤 표지를 붙여야 해?,산업안전보건법,제111조,"화학물질, 경고표지, 부착",화학,✅,위험성 경고 표지 의무

굴착작업 시 작업계획서에 포함되어야 할 내용은?,산업안전보건기준에 관한 규칙,제264조,"굴착, 작업계획서, 내용",토사,✅,흙막이·지보공·작업방법 포함

고정식 비계는 몇 m 이상 설치 시 구조검토 해야 해?,산업안전보건기준에 관한 규칙,제208조,"비계, 구조검토, 높이",비계,✅,8m 이상 시 구조검토

건설기계 작업 반경 내 사람 접근 제한 기준은?,산업안전보건기준에 관한 규칙,제248조,"건설기계, 작업반경, 출입금지",기계,✅,작업반경 내 출입금지 조치 필요

아세틸렌 가스는 어떤 장소에 보관해야 해?,위험물안전관리법,제12조,"아세틸렌, 보관장소, 위험물",가스,✅,차광·환기 가능한 장소

비상구는 몇 m 간격으로 설치해야 해?,건설현장의 화재안전성능기준,제8조,"비상구, 간격, 피난",화재,✅,50m 이내 거리 기준 명시

고소작업대 작업자는 어떤 교육을 받아야 해?,산업안전보건법 시행규칙,제33조,"고소작업대, 교육, 특수교육",교육,✅,특수교육 4시간 이상

차량 적재함에서 작업하려면 어떤 조치가 필요해?,산업안전보건기준에 관한 규칙,제255조,"차량적재함, 작업, 추락",작업환경,✅,안전난간 또는 안전대 필요

지게차에 근로자가 탑승해도 돼?,산업안전보건기준에 관한 규칙,제323조,"지게차, 탑승, 금지",기계,✅,적재용도 외 탑승 금지

안전모는 어떤 조건을 충족해야 해?,산업안전보건기준에 관한 규칙,제38조,"안전모, 기준, 보호구",보호구,✅,KS 인증 등 충격흡수성 요건

산업안전보건위원회는 몇 명 이상 사업장에서 구성해야 해?,산업안전보건법,제24조,"산업안전보건위원회, 인원기준",관리체계,✅,50인 이상 사업장 의무

수직갱 내 작업 시 조도 기준은?,산업안전보건기준에 관한 규칙,별표 6,"수직갱, 조도, 조명",조도,✅,최소 50룩스 이상 확보

이동식 비계는 이동 후 어떤 조치를 해야 해?,산업안전보건기준에 관한 규칙,제209조,"이동식 비계, 고정, 브레이크",비계,✅,이동 후 휠 잠금 장치 필요

작업장 출입구에는 어떤 경고가 필요한가?,산업안전보건법,제111조,"출입구, 경고표지, 위험구역",표지,✅,경고표지 및 주의표지 설치 의무

고소작업대 사용 시 안전작업계획서 필요해?,산업안전보건기준에 관한 규칙,제254조,"고소작업대, 작업계획서",작업계획,✅,고소작업은 계획 수립 필요

사람이 타는 리프트의 정기검사 주기는?,산업안전보건법 시행규칙,제146조,"승강기, 리프트, 정기검사",설비,✅,1년 1회 이상 정기검사 필요

굴삭기와 덤프트럭 작업 시 신호수는 꼭 있어야 해?,산업안전보건기준에 관한 규칙,제248조,"굴삭기, 신호수, 덤프트럭",기계,✅,신호수 배치 기준 명시

도급 공사에서 원청이 안전조치를 안 하면 책임이 있어?,산업안전보건법 시행령,제61조,"도급, 원청, 안전조치, 책임",도급,✅,수급인의 사고에도 원청의 조치의무 있음

도급 현장에서 총괄책임자는 꼭 지정해야 해?,산업안전보건법 시행령,제61조의2,"도급, 총괄책임자, 지정",도급,✅,일정 기준 이상 도급공사에 지정 의무

총괄책임자는 구체적으로 뭘 해야 해?,산업안전보건법 시행령,제61조의3,"총괄책임자, 직무, 역할",관리자,✅,도급인·수급인 조정 및 유해위험 방지

도급공사 안전보건조정회의는 필수야?,산업안전보건법 시행령,제61조의4,"도급, 조정회의, 안전보건",도급,✅,매월 1회 이상 개최 의무

수급인이 하청 줄 때 원청한테 알려야 해?,산업안전보건법 시행령,제61조의5,"하도급, 수급인, 통보",도급,✅,원청에 서면 통보 의무

산업안전보건교육은 누구까지 받아야 해?,산업안전보건법 시행규칙,제33조,"교육, 정기, 특별, 신규",교육,✅,관리감독자 포함 전 근로자

관리감독자 교육은 몇 시간 받아야 해?,산업안전보건법 시행규칙,제33조의2,"관리감독자, 교육시간, 주기",교육,✅,연간 16시간 이상 교육 의무

특수형태근로종사자도 안전교육을 받아야 해?,산업안전보건법 시행령,제31조의2,"특고, 안전교육, 적용대상",교육,✅,일부 특고직종에 법 적용 가능

작업 중지 권한은 누구에게 있어?,산업안전보건법,제52조,"작업중지, 권한, 근로자",작업중지,✅,위험 인지 시 근로자도 중지 가능

위험한 작업을 즉시 멈추게 할 수 있어?,산업안전보건법 시행령,제46조,"긴급중지, 조치, 권한",작업중지,✅,현장책임자 즉시 작업중지 가능 규정 포함

건축현장 가설건축물은 허가 없이 설치해도 돼?,건축법,제20조,"가설건축물, 허가, 설치",건축,✅,용도와 규모에 따라 허가 대상

공사장 임시전기는 신고 없이 설치해도 괜찮아?,건축법,제28조,"임시전기, 설치, 신고",전기설비,✅,허가·신고 여부 지자체 기준 있음

건축물 철거 전에 해야 할 조치는 뭐야?,건축법,제36조,"철거, 사전조치, 안전관리",건축,✅,철거신고 및 안전조치 이행 의무

공사 중 인접 건물에 피해 생기면 누가 책임져?,건축법,제38조,"인접건물, 피해, 책임",건축,✅,시공자 및 발주자 연대책임 있음

건설기계는 정기적으로 검사받아야 해?,건설기계관리법,제13조,"건설기계, 정기검사, 주기",건설기계,✅,기종별 주기적 정기검사 의무

건설기계 등록 안 하고 써도 돼?,건설기계관리법,제3조,"건설기계, 등록, 사용",건설기계,✅,등록 후 사용 가능

노후 건설기계는 사용하면 안 돼?,건설기계관리법,제32조,"노후건설기계, 사용제한, 정비",건설기계,✅,사용제한 및 정비 명령 가능

건설기계 정비는 아무나 해도 돼?,건설기계관리법,제26조,"정비, 자격, 건설기계",정비,✅,정비업 등록자만 가능

건설기계 조종사 자격은 어떻게 돼?,건설기계관리법,제26조의2,"조종사, 자격, 건설기계",자격,✅,기종별 자격증 필수

굴삭기 작업 중 충돌사고 예방 조치는?,건설기계관리법,제48조,"굴삭기, 충돌방지, 조치",건설기계,✅,신호수 배치 및 주의의무 명시

중대재해가 발생하면 감리원도 책임질 수 있어?,건설기술진흥법,제63조,"감리원, 중대재해, 책임",감리,✅,안전관리 확인 의무 있음

중대재해처벌법상 '경영책임자'는 누구야?,중대재해 처벌 등에 관한 법률,제2조,"경영책임자, 정의, 대표",정의,✅,대표자 또는 관리총괄자 포함

안전관리계획은 공사 시작 전까지 제출해야 해?,건설기술진흥법,제62조,"안전관리계획, 제출시기, 착공",계획,✅,착공 전 제출 의무 명시

건설공사 감리도 안전교육 받아야 해?,건설기술진흥법,제64조,"감리, 안전교육, 의무",감리,✅,감리원도 정기 교육 대상

중대재해 발생 시 하청업체도 처벌받아?,중대재해 처벌 등에 관한 법률,제6조,"수급인, 하청, 책임",처벌,✅,법 적용 범위에 포함됨

안전보건 확보 의무는 어떤 내용을 포함해?,중대재해 처벌 등에 관한 법률,제4조,"의무, 안전보건, 확보",의무,✅,인력·예산·조직 확보 등 포함

경영책임자 교육은 반드시 받아야 해?,중대재해 처벌 등에 관한 법률,제5조,"경영책임자, 교육, 의무",교육,✅,의무 명시 및 미이수 시 처벌 가능

건설공사 발주처도 중대재해에 책임이 있어?,중대재해 처벌 등에 관한 법률,제4조,"발주자, 책임, 중대재해",발주자,✅,경영책임자에 해당할 수 있음

중대산업재해로 유죄 받으면 벌금은 얼마야?,중대재해 처벌 등에 관한 법률,제11조,"벌금, 법인, 처벌",처벌,✅,최대 50억 원 명시

중대재해 예방을 위한 조직은 의무적으로 설치해야 해?,중대재해 처벌 등에 관한 법률,제4조,"조직, 안전보건, 의무",관리체계,✅,조직·절차 마련 의무 포함

도시가스 배관 공사 전 밸브는 어떻게 조작해야 해?,도시가스사업법,제30조,"도시가스, 밸브, 폐쇄, 시공",배관,✅,공사 전 밸브폐쇄 등 조치 의무

도시가스 시설은 정기적으로 검사받아야 해?,도시가스사업법,제31조,"도시가스, 정기검사, 시설",검사,✅,정기검사 대상 시설 명시

도시가스사업자는 안전교육도 해야 해?,도시가스사업법,제34조,"도시가스, 안전교육, 의무",교육,✅,공급자 또는 관리자 대상 교육 의무

도시가스사업자는 비상계획을 반드시 수립해야 해?,도시가스사업법,제35조,"도시가스, 비상계획, 수립",비상대응,✅,비상계획 수립 및 시행 의무

위험물 운반 차량에는 어떤 표시를 해야 해?,위험물안전관리법,제21조,"위험물, 운반, 차량, 경고표시",운반,✅,경고표지·표준규격 의무

위험물 운반할 때 소화기는 꼭 있어야 해?,위험물안전관리법,제22조,"위험물, 운반, 소화기",운반,✅,소화기 비치 의무

위험물 저장소에는 방폭등을 설치해야 해?,위험물안전관리법,제12조,"위험물, 저장소, 방폭등",전기설비,✅,폭발위험장소 방폭기기 설치 의무

LPG는 일정량 이상 저장하면 허가받아야 해?,액화석유가스 안전관리법,제11조,"LPG, 저장, 허가기준",저장,✅,저장량 기준 초과 시 허가 의무

가스용기 보관은 아무 데서나 해도 되나?,액화석유가스 안전관리법,제15조,"가스용기, 보관, 환기",저장,✅,"환기, 차광, 거리 확보 필요"

가스 폭발 사고가 나면 누가 책임져?,액화석유가스 안전관리법,제43조,"가스폭발, 사고, 책임",사고,✅,관리책임자 및 소유자 명시

건설현장에 임시소방시설은 언제 설치해야 해?,건설현장의 화재안전성능기준,제5조,"임시소방시설, 설치기준, 화재",화재,✅,공사규모별 설치 의무 명시

건설현장 소화기는 어디에 비치해야 해?,건설현장의 화재안전성능기준,제10조,"소화기, 비치, 건설현장",화재,✅,작업장 반경 25m 이내 설치

비상벨은 건설현장 어디에 설치해야 해?,건설현장의 화재안전성능기준,제9조,"비상벨, 설치기준, 피난",화재,✅,500㎡마다 1개 이상 설치

비상구는 몇 미터 간격으로 둬야 해?,건설현장의 화재안전성능기준,제8조,"비상구, 거리, 설치기준",화재,✅,비상구 간 50m 이내

불꽃작업 시 감시자는 꼭 배치해야 해?,건설현장의 화재안전성능기준,제6조,"불꽃작업, 감시자, 화재감시",화재,✅,작업 중 감시자 배치 의무
